season,team,gsis_id,pff_id,pfr_id,fbdb_id,full_name,first_name,last_name,position_nfl_team,position_pff,height,weight,college,birth_date,draft_yr,draft_type,draft_rnd,draft_pick,draft_team,week1_age
2018,HOU,00-0031259,8749,ColvAa00,aaron-colvin-colviaa01,Aaron Colvin,Aaron,Colvin,CB,CB,72,195,Oklahoma,1991-10-02,2014,Standard,4,114,JAX,26.9377138945927
2017,JAX,00-0031259,8749,ColvAa00,aaron-colvin-colviaa01,Aaron Colvin,Aaron,Colvin,CB,CB,72,193,Oklahoma,1991-10-02,2014,Standard,4,114,JAX,25.9411362080767
2015,JAX,00-0031259,8749,ColvAa00,aaron-colvin-colviaa01,Aaron Colvin,Aaron,Colvin,CB,CB,72,194,Oklahoma,1991-10-02,2014,Standard,4,114,JAX,23.9479808350445
2015,NE,00-0030540,7840,DobsAa00,aaron-dobson-dobsoaa01,Aaron Dobson,Aaron,Dobson,WR,WR,75,205,Marshall,1991-07-23,2013,Standard,2,59,NE,24.1423682409309
2014,NE,00-0030540,7840,DobsAa00,aaron-dobson-dobsoaa01,Aaron Dobson,Aaron,Dobson,WR,WR,75,200,Marshall,1991-07-23,2013,Standard,2,59,NE,23.1266255989049
2013,NE,00-0030540,7840,DobsAa00,aaron-dobson-dobsoaa01,Aaron Dobson,Aaron,Dobson,WR,WR,75,200,Marshall,1991-07-23,2013,Standard,2,59,NE,22.1300479123888
2021,LA,00-0031388,8648,DonaAa00,aaron-donald-donalaa01,Aaron Donald,Aaron,Donald,DT,DI,73,280,Pittsburgh,1991-05-23,2014,Standard,1,13,LA,30.3080082135524
2020,LA,00-0031388,8648,DonaAa00,aaron-donald-donalaa01,Aaron Donald,Aaron,Donald,DT,DI,73,280,Pittsburgh,1991-05-23,2014,Standard,1,13,LA,29.3114305270363
2019,LA,00-0031388,8648,DonaAa00,aaron-donald-donalaa01,Aaron Donald,Aaron,Donald,DT,DI,73,280,Pittsburgh,1991-05-23,2014,Standard,1,13,LA,28.2956878850103
2016,LA,00-0031388,8648,DonaAa00,aaron-donald-donalaa01,Aaron Donald,Aaron,Donald,DT,DI,73,285,Pittsburgh,1991-05-23,2014,Standard,1,13,LA,25.305954825462
2015,LA,00-0031388,8648,DonaAa00,aaron-donald-donalaa01,Aaron Donald,Aaron,Donald,DT,DI,73,285,Pittsburgh,1991-05-23,2014,Standard,1,13,LA,24.3093771389459
2014,LA,00-0031388,8648,DonaAa00,aaron-donald-donalaa01,Aaron Donald,Aaron,Donald,DT,DI,73,285,Pittsburgh,1991-05-23,2014,Standard,1,13,LA,23.2936344969199
2021,GB,00-0033293,11937,JoneAa00,aaron-jones-jonesaa02,Aaron Jones,Aaron,Jones,RB,HB,69,208,Texas-El Paso,1994-12-02,2017,Standard,5,182,GB,26.7789185489391
2020,GB,00-0033293,11937,JoneAa00,aaron-jones-jonesaa02,Aaron Jones,Aaron,Jones,RB,HB,69,208,Texas-El Paso,1994-12-02,2017,Standard,5,182,GB,25.782340862423
2019,GB,00-0033293,11937,JoneAa00,aaron-jones-jonesaa02,Aaron Jones,Aaron,Jones,RB,HB,69,208,Texas-El Paso,1994-12-02,2017,Standard,5,182,GB,24.766598220397
2017,GB,00-0033293,11937,JoneAa00,aaron-jones-jonesaa02,Aaron Jones,Aaron,Jones,RB,HB,69,208,Texas-El Paso,1994-12-02,2017,Standard,5,182,GB,22.7734428473648
2019,CHI,00-0030993,8785,LyncAa00,aaron-lynch-lynchaa01,Aaron Lynch,Aaron,Lynch,OLB,ED,77,285,South Florida,1993-02-08,2014,Standard,5,150,SF,26.5790554414784
2018,CHI,00-0030993,8785,LyncAa00,aaron-lynch-lynchaa01,Aaron Lynch,Aaron,Lynch,OLB,ED,78,270,South Florida,1993-02-08,2014,Standard,5,150,SF,25.5824777549624
2017,SF,00-0030993,8785,LyncAa00,aaron-lynch-lynchaa01,Aaron Lynch,Aaron,Lynch,DE,ED,78,270,South Florida,1993-02-08,2014,Standard,5,150,SF,24.5859000684463
2015,SF,00-0030993,8785,LyncAa00,aaron-lynch-lynchaa01,Aaron Lynch,Aaron,Lynch,OLB,ED,77,270,South Florida,1993-02-08,2014,Standard,5,150,SF,22.5927446954141
2014,SF,00-0030993,8785,LyncAa00,aaron-lynch-lynchaa01,Aaron Lynch,Aaron,Lynch,OLB,ED,77,270,South Florida,1993-02-08,2014,Standard,5,150,SF,21.5770020533881
2013,BAL,00-0029896,8021,MellAa00,aaron-mellette-melleaa01,Aaron Mellette,Aaron,Mellette,WR,WR,74,217,Elon,1989-12-28,2013,Standard,7,238,BAL,23.6960985626283
2015,KC,00-0031287,8798,MurrAa00,aaron-murray-murraaa01,Aaron Murray,Aaron,Murray,QB,QB,73,207,Georgia,1990-11-10,2014,Standard,5,163,KC,24.8405201916496
2014,KC,00-0031287,8798,MurrAa00,aaron-murray-murraaa01,Aaron Murray,Aaron,Murray,QB,QB,73,207,Georgia,1990-11-10,2014,Standard,5,163,KC,23.8247775496235
2021,JAX,00-0036465,48558,PatrAa00,aaron-patrick-patriaa01,Aaron Patrick,Aaron,Patrick,DE,ED,76,245,Eastern Kentucky,1996-12-21,2020,Undrafted,NA,NA,JAX,24.72553045859
2017,GB,00-0031612,9639,RipkAa00,aaron-ripkowski-ripkoaa01,Aaron Ripkowski,Aaron,Ripkowski,FB,FB,73,246,Oklahoma,1992-12-20,2015,Standard,6,206,GB,24.7227926078029
2016,GB,00-0031612,9639,RipkAa00,aaron-ripkowski-ripkoaa01,Aaron Ripkowski,Aaron,Ripkowski,FB,FB,73,246,Oklahoma,1992-12-20,2015,Standard,6,206,GB,23.7262149212868
2015,GB,00-0031612,9639,RipkAa00,aaron-ripkowski-ripkoaa01,Aaron Ripkowski,Aaron,Ripkowski,FB,FB,73,246,Oklahoma,1992-12-20,2015,Standard,6,206,GB,22.7296372347707
2021,GB,00-0023459,2241,RodgAa00,aaron-rodgers-rodgeaa01,Aaron Rodgers,Aaron,Rodgers,QB,QB,74,225,California,1983-12-02,2005,Standard,1,24,GB,37.7796030116359
2020,GB,00-0023459,2241,RodgAa00,aaron-rodgers-rodgeaa01,Aaron Rodgers,Aaron,Rodgers,QB,QB,74,225,California,1983-12-02,2005,Standard,1,24,GB,36.7830253251198
2019,GB,00-0023459,2241,RodgAa00,aaron-rodgers-rodgeaa01,Aaron Rodgers,Aaron,Rodgers,QB,QB,74,225,California,1983-12-02,2005,Standard,1,24,GB,35.7672826830938
2018,GB,00-0023459,2241,RodgAa00,aaron-rodgers-rodgeaa01,Aaron Rodgers,Aaron,Rodgers,QB,QB,74,225,California,1983-12-02,2005,Standard,1,24,GB,34.7707049965777
2017,GB,00-0023459,2241,RodgAa00,aaron-rodgers-rodgeaa01,Aaron Rodgers,Aaron,Rodgers,QB,QB,74,225,California,1983-12-02,2005,Standard,1,24,GB,33.7741273100616
2016,GB,00-0023459,2241,RodgAa00,aaron-rodgers-rodgeaa01,Aaron Rodgers,Aaron,Rodgers,QB,QB,74,225,California,1983-12-02,2005,Standard,1,24,GB,32.7775496235455
2015,GB,00-0023459,2241,RodgAa00,aaron-rodgers-rodgeaa01,Aaron Rodgers,Aaron,Rodgers,QB,QB,74,225,California,1983-12-02,2005,Standard,1,24,GB,31.7809719370294
2014,GB,00-0023459,2241,RodgAa00,aaron-rodgers-rodgeaa01,Aaron Rodgers,Aaron,Rodgers,QB,QB,74,225,California,1983-12-02,2005,Standard,1,24,GB,30.7652292950034
2013,GB,00-0023459,2241,RodgAa00,aaron-rodgers-rodgeaa01,Aaron Rodgers,Aaron,Rodgers,QB,QB,74,225,California,1983-12-02,2005,Standard,1,24,GB,29.7686516084873
2013,NYG,00-0025407,3636,RossAa99,aaron-ross-rossaa01,Aaron Ross,Aaron,Ross,CB,CB,72,190,Texas,1982-09-15,2007,Standard,1,20,NYG,30.9815195071869
2021,TB,00-0034668,28653,StinAa00,aaron-stinnie-stinnaa01,Aaron Stinnie,Aaron,Stinnie,G,G,75,312,James Madison,1994-02-18,2018,Undrafted,NA,NA,TEN,27.564681724846
2020,TB,00-0034668,28653,StinAa00,aaron-stinnie-stinnaa01,Aaron Stinnie,Aaron,Stinnie,G,G,75,312,James Madison,1994-02-18,2018,Undrafted,NA,NA,TEN,26.5681040383299
2018,TEN,00-0034668,28653,StinAa00,aaron-stinnie-stinnaa01,Aaron Stinnie,Aaron,Stinnie,OG,G,75,312,James Madison,1994-02-18,2018,Undrafted,NA,NA,TEN,24.5557837097878
2018,TEN,00-0032799,10856,WallAa00,aaron-wallace-wallaaa02,Aaron Wallace,Aaron,Wallace,LB,ED,74,242,UCLA,1993-07-08,2016,Standard,7,222,TEN,25.1718001368925
2017,TEN,00-0032799,10856,WallAa00,aaron-wallace-wallaaa02,Aaron Wallace,Aaron,Wallace,OLB,ED,74,242,UCLA,1993-07-08,2016,Standard,7,222,TEN,24.1752224503765
2016,TEN,00-0032799,10856,WallAa00,aaron-wallace-wallaaa02,Aaron Wallace,Aaron,Wallace,OLB,ED,74,242,UCLA,1993-07-08,2016,Standard,7,222,TEN,23.1786447638604
2016,BUF,00-0027972,6186,WillAa00,aaron-williams-williaa03,Aaron Williams,Aaron,Williams,SS,S,72,199,Texas,1990-04-23,2011,Standard,2,34,BUF,26.3874058863792
2015,BUF,00-0027972,6186,WillAa00,aaron-williams-williaa03,Aaron Williams,Aaron,Williams,SS,S,72,199,Texas,1990-04-23,2011,Standard,2,34,BUF,25.3908281998631
2014,BUF,00-0027972,6186,WillAa00,aaron-williams-williaa03,Aaron Williams,Aaron,Williams,FS,S,72,199,Texas,1990-04-23,2011,Standard,2,34,BUF,24.3750855578371
2013,BUF,00-0027972,6186,WillAa00,aaron-williams-williaa03,Aaron Williams,Aaron,Williams,SS,S,72,199,Texas,1990-04-23,2011,Standard,2,34,BUF,23.378507871321
2019,CHI,00-0034587,32708,AndeAb00,abdullah-anderson-anderab01,Abdullah Anderson,Abdullah,Anderson,DT,DI,75,297,Bucknell,1996-01-24,2018,Undrafted,NA,NA,CHI,23.6221765913758
2020,JAX,00-0029946,8177,JoneAb00,abry-jones-jonesab01,Abry Jones,Abry,Jones,DT,DI,76,318,Georgia,1991-09-08,2013,Undrafted,NA,NA,JAX,29.015742642026
2019,JAX,00-0029946,8177,JoneAb00,abry-jones-jonesab01,Abry Jones,Abry,Jones,DT,DI,76,318,Georgia,1991-09-08,2013,Undrafted,NA,NA,JAX,28
2018,JAX,00-0029946,8177,JoneAb00,abry-jones-jonesab01,Abry Jones,Abry,Jones,DT,DI,76,318,Georgia,1991-09-08,2013,Undrafted,NA,NA,JAX,27.0034223134839
2017,JAX,00-0029946,8177,JoneAb00,abry-jones-jonesab01,Abry Jones,Abry,Jones,DT,DI,76,318,Georgia,1991-09-08,2013,Undrafted,NA,NA,JAX,26.0068446269678
2016,JAX,00-0029946,8177,JoneAb00,abry-jones-jonesab01,Abry Jones,Abry,Jones,DT,DI,76,318,Georgia,1991-09-08,2013,Undrafted,NA,NA,JAX,25.0102669404517
2015,JAX,00-0029946,8177,JoneAb00,abry-jones-jonesab01,Abry Jones,Abry,Jones,DT,DI,76,320,Georgia,1991-09-08,2013,Undrafted,NA,NA,JAX,24.0136892539357
2014,JAX,00-0029946,8177,JoneAb00,abry-jones-jonesab01,Abry Jones,Abry,Jones,DT,DI,76,312,Georgia,1991-09-08,2013,Undrafted,NA,NA,JAX,22.9979466119097
2013,JAX,00-0029946,8177,JoneAb00,abry-jones-jonesab01,Abry Jones,Abry,Jones,DE,DI,75,312,Georgia,1991-09-08,2013,Undrafted,NA,NA,JAX,22.0013689253936
2013,JAX,00-0030550,7883,SandAc00,ace-sanders-sandeac01,Ace Sanders,Ace,Sanders,WR,WR,67,178,South Carolina,1991-11-11,2013,Standard,4,101,JAX,21.8261464750171
2016,DET,00-0032552,11129,BarnAd01,adairius-barnes-barnead01,Adairius Barnes,Adairius,Barnes,CB,CB,70,188,Louisiana Tech,1994-04-30,2016,Undrafted,NA,NA,DET,22.3682409308693
2021,MIA,00-0033381,12214,ButlAd00,adam-butler-butlead01,Adam Butler,Adam,Butler,DT,DI,77,295,Vanderbilt,1994-04-12,2017,Undrafted,NA,NA,NE,27.419575633128
2020,NE,00-0033381,12214,ButlAd00,adam-butler-butlead01,Adam Butler,Adam,Butler,DT,DI,77,300,Vanderbilt,1994-04-12,2017,Undrafted,NA,NA,NE,26.4229979466119
2019,NE,00-0033381,12214,ButlAd00,adam-butler-butlead01,Adam Butler,Adam,Butler,DT,DI,77,300,Vanderbilt,1994-04-12,2017,Undrafted,NA,NA,NE,25.4072553045859
2018,NE,00-0033381,12214,ButlAd00,adam-butler-butlead01,Adam Butler,Adam,Butler,DT,DI,77,300,Vanderbilt,1994-04-12,2017,Undrafted,NA,NA,NE,24.4106776180698
2017,NE,00-0033381,12214,ButlAd00,adam-butler-butlead01,Adam Butler,Adam,Butler,DT,DI,76,300,Vanderbilt,1994-04-12,2017,Undrafted,NA,NA,NE,23.4140999315537
2018,TB,00-0029139,7138,GettAd00,adam-gettis-gettiad01,Adam Gettis,Adam,Gettis,OG,C,75,315,Iowa,1988-12-09,2012,Standard,5,141,WAS,29.7494866529774
2013,WAS,00-0029139,7138,GettAd00,adam-gettis-gettiad01,Adam Gettis,Adam,Gettis,G,G,74,292,Iowa,1988-12-09,2012,Standard,5,141,WAS,24.7474332648871
2021,JAX,00-0033064,10697,GotsAd00,adam-gotsis-gotsiad01,Adam Gotsis,Adam,Gotsis,DE,DI,76,287,Georgia Tech,1992-09-23,2016,Standard,2,63,DEN,28.9691991786448
2020,JAX,00-0033064,10697,GotsAd00,adam-gotsis-gotsiad01,Adam Gotsis,Adam,Gotsis,DE,ED,76,287,Georgia Tech,1992-09-23,2016,Standard,2,63,DEN,27.9726214921287
2019,DEN,00-0033064,10697,GotsAd00,adam-gotsis-gotsiad01,Adam Gotsis,Adam,Gotsis,DE,DI,76,287,Georgia Tech,1992-09-23,2016,Standard,2,63,DEN,26.9568788501027
2018,DEN,00-0033064,10697,GotsAd00,adam-gotsis-gotsiad01,Adam Gotsis,Adam,Gotsis,DE,DI,76,287,Georgia Tech,1992-09-23,2016,Standard,2,63,DEN,25.9603011635866
2017,DEN,00-0033064,10697,GotsAd00,adam-gotsis-gotsiad01,Adam Gotsis,Adam,Gotsis,DE,DI,76,287,Georgia Tech,1992-09-23,2016,Standard,2,63,DEN,24.9637234770705
2016,DEN,00-0033064,10697,GotsAd00,adam-gotsis-gotsiad01,Adam Gotsis,Adam,Gotsis,DT,DI,76,287,Georgia Tech,1992-09-23,2016,Standard,2,63,DEN,23.9671457905544
2014,WAS,00-0025569,3798,HaywAd98,adam-hayward-haywaad01,Adam Hayward,Adam,Hayward,OLB,LB,73,240,Portland State,1984-06-23,2007,Standard,6,182,TB,30.2067077344285
2013,TB,00-0025569,3798,HaywAd98,adam-hayward-haywaad01,Adam Hayward,Adam,Hayward,OLB,LB,73,240,Portland State,1984-06-23,2007,Standard,6,182,TB,29.2101300479124
2021,WAS,00-0032009,10075,HumpAd00,adam-humphries-humphad01,Adam Humphries,Adam,Humphries,WR,WR,71,195,Clemson,1993-06-24,2015,Undrafted,NA,NA,TB,28.2190280629706
2020,TEN,00-0032009,10075,HumpAd00,adam-humphries-humphad01,Adam Humphries,Adam,Humphries,WR,WR,71,195,Clemson,1993-06-24,2015,Undrafted,NA,NA,TB,27.2224503764545
2019,TEN,00-0032009,10075,HumpAd00,adam-humphries-humphad01,Adam Humphries,Adam,Humphries,WR,WR,71,195,Clemson,1993-06-24,2015,Undrafted,NA,NA,TB,26.2067077344285
2018,TB,00-0032009,10075,HumpAd00,adam-humphries-humphad01,Adam Humphries,Adam,Humphries,WR,WR,71,195,Clemson,1993-06-24,2015,Undrafted,NA,NA,TB,25.2101300479124
2017,TB,00-0032009,10075,HumpAd00,adam-humphries-humphad01,Adam Humphries,Adam,Humphries,WR,WR,71,195,Clemson,1993-06-24,2015,Undrafted,NA,NA,TB,24.2135523613963
2016,TB,00-0032009,10075,HumpAd00,adam-humphries-humphad01,Adam Humphries,Adam,Humphries,WR,WR,71,195,Clemson,1993-06-24,2015,Undrafted,NA,NA,TB,23.2169746748802
2015,TB,00-0032009,10075,HumpAd00,adam-humphries-humphad01,Adam Humphries,Adam,Humphries,WR,WR,71,195,Clemson,1993-06-24,2015,Undrafted,NA,NA,TB,22.2203969883641
2018,DEN,00-0023441,2223,JonePa20,adam-jones-jonesad02,Adam Jones,Adam,Jones,DB,CB,70,185,West Virginia,1983-09-30,2005,Standard,1,6,TEN,34.943189596167
2016,CIN,00-0023441,2223,JonePa20,adam-jones-jonesad02,Adam Jones,Adam,Jones,CB,CB,70,180,West Virginia,1983-09-30,2005,Standard,1,6,TEN,32.9500342231348
2015,CIN,00-0023441,2223,JonePa20,adam-jones-jonesad02,Adam Jones,Adam,Jones,CB,CB,70,180,West Virginia,1983-09-30,2005,Standard,1,6,TEN,31.9534565366188
2014,CIN,00-0023441,2223,JonePa20,adam-jones-jonesad02,Adam Jones,Adam,Jones,CB,CB,70,186,West Virginia,1983-09-30,2005,Standard,1,6,TEN,30.9377138945927
2013,CIN,00-0023441,2223,JonePa20,adam-jones-jonesad02,Adam Jones,Adam,Jones,CB,CB,70,180,West Virginia,1983-09-30,2005,Standard,1,6,TEN,29.9411362080767
2020,MIA,00-0033359,12114,PankAd00,adam-pankey-pankead01,Adam Pankey,Adam,Pankey,G,T,77,313,West Virginia,1994-02-02,2017,Undrafted,NA,NA,GB,26.611909650924
2013,CHI,00-0025488,3717,PodlAd20,adam-podlesh-podlead01,Adam Podlesh,Adam,Podlesh,P,P,71,200,Maryland,1983-08-11,2007,Standard,4,101,JAX,30.0780287474333
2019,DAL,00-0032354,10915,RedmAd00,adam-redmond-redmoad01,Adam Redmond,Adam,Redmond,C,G,78,310,Harvard,1993-05-19,2016,Undrafted,NA,NA,IND,26.3052703627652
2021,MIA,00-0033896,11800,ShahAd00,adam-shaheen-shahead01,Adam Shaheen,Adam,Shaheen,TE,TE,79,257,Ashland,1994-10-24,2017,Standard,2,45,CHI,26.8856947296372
2020,MIA,00-0033896,11800,ShahAd00,adam-shaheen-shahead01,Adam Shaheen,Adam,Shaheen,TE,TE,78,257,Ashland,1994-10-24,2017,Standard,2,45,CHI,25.8891170431211
2019,CHI,00-0033896,11800,ShahAd00,adam-shaheen-shahead01,Adam Shaheen,Adam,Shaheen,TE,TE,78,257,Ashland,1994-10-24,2017,Standard,2,45,CHI,24.8733744010951
2018,CHI,00-0033896,11800,ShahAd00,adam-shaheen-shahead01,Adam Shaheen,Adam,Shaheen,TE,TE,78,270,Ashland,1994-10-24,2017,Standard,2,45,CHI,23.8767967145791
2017,CHI,00-0033896,11800,ShahAd00,adam-shaheen-shahead01,Adam Shaheen,Adam,Shaheen,TE,TE,77,270,Ashland,1994-10-24,2017,Standard,2,45,CHI,22.880219028063
2013,SF,00-0023529,2311,SnydAd20,adam-snyder-snydead01,Adam Snyder,Adam,Snyder,G,G,78,325,Oregon,1982-01-30,2005,Standard,3,94,SF,31.605749486653
2021,MIN,00-0030035,8288,ThieAd00,adam-thielen-thielad01,Adam Thielen,Adam,Thielen,WR,WR,74,200,Mankato State,1990-08-22,2013,Undrafted,NA,NA,MIN,31.0581793292266
2020,MIN,00-0030035,8288,ThieAd00,adam-thielen-thielad01,Adam Thielen,Adam,Thielen,WR,WR,74,200,Mankato State,1990-08-22,2013,Undrafted,NA,NA,MIN,30.0616016427105
2019,MIN,00-0030035,8288,ThieAd00,adam-thielen-thielad01,Adam Thielen,Adam,Thielen,WR,WR,74,200,Mankato State,1990-08-22,2013,Undrafted,NA,NA,MIN,29.0458590006845
2018,MIN,00-0030035,8288,ThieAd00,adam-thielen-thielad01,Adam Thielen,Adam,Thielen,WR,WR,74,200,Mankato State,1990-08-22,2013,Undrafted,NA,NA,MIN,28.0492813141684
2017,MIN,00-0030035,8288,ThieAd00,adam-thielen-thielad01,Adam Thielen,Adam,Thielen,WR,WR,74,200,Mankato State,1990-08-22,2013,Undrafted,NA,NA,MIN,27.0527036276523
2016,MIN,00-0030035,8288,ThieAd00,adam-thielen-thielad01,Adam Thielen,Adam,Thielen,WR,WR,74,200,Mankato State,1990-08-22,2013,Undrafted,NA,NA,MIN,26.0561259411362
2015,MIN,00-0030035,8288,ThieAd00,adam-thielen-thielad01,Adam Thielen,Adam,Thielen,WR,WR,74,200,Mankato State,1990-08-22,2013,Undrafted,NA,NA,MIN,25.0595482546201
2014,MIN,00-0030035,8288,ThieAd00,adam-thielen-thielad01,Adam Thielen,Adam,Thielen,WR,WR,74,195,Mankato State,1990-08-22,2013,Undrafted,NA,NA,MIN,24.0438056125941
2021,NO,00-0036422,109795,TrauAd00,adam-trautman-trautad01,Adam Trautman,Adam,Trautman,TE,TE,77,253,Dayton,1997-02-05,2020,Standard,3,105,NO,24.5995893223819
2020,NO,00-0036422,109795,TrauAd00,adam-trautman-trautad01,Adam Trautman,Adam,Trautman,TE,TE,78,253,Dayton,1997-02-05,2020,Standard,3,105,NO,23.6030116358658
2019,IND,00-0016919,226,vinatada01,adam-vinatieri-vinatad01,Adam Vinatieri,Adam,Vinatieri,K,K,72,212,South Dakota State,1972-12-28,1996,Undrafted,NA,NA,NE,46.694045174538
2018,IND,00-0016919,226,vinatada01,adam-vinatieri-vinatad01,Adam Vinatieri,Adam,Vinatieri,K,K,72,212,South Dakota State,1972-12-28,1996,Undrafted,NA,NA,NE,45.6974674880219
2017,IND,00-0016919,226,vinatada01,adam-vinatieri-vinatad01,Adam Vinatieri,Adam,Vinatieri,K,K,72,212,South Dakota State,1972-12-28,1996,Undrafted,NA,NA,NE,44.7008898015058
2016,IND,00-0016919,226,vinatada01,adam-vinatieri-vinatad01,Adam Vinatieri,Adam,Vinatieri,K,K,72,206,South Dakota State,1972-12-28,1996,Undrafted,NA,NA,NE,43.7043121149897
2015,IND,00-0016919,226,vinatada01,adam-vinatieri-vinatad01,Adam Vinatieri,Adam,Vinatieri,K,K,72,206,South Dakota State,1972-12-28,1996,Undrafted,NA,NA,NE,42.7077344284736
2014,IND,00-0016919,226,vinatada01,adam-vinatieri-vinatad01,Adam Vinatieri,Adam,Vinatieri,K,K,72,209,South Dakota State,1972-12-28,1996,Undrafted,NA,NA,NE,41.6919917864476
2013,IND,00-0016919,226,vinatada01,adam-vinatieri-vinatad01,Adam Vinatieri,Adam,Vinatieri,K,K,72,208,South Dakota State,1972-12-28,1996,Undrafted,NA,NA,NE,40.6954140999316
2020,CAR,00-0031120,9074,GlanAd00,adarius-taylor-glantad01,Adarius Taylor,Adarius,Taylor,LB,LB,72,230,Florida Atlantic,1990-09-21,2014,Undrafted,NA,NA,CAR,29.9794661190965
2019,CLE,00-0031120,9074,GlanAd00,adarius-taylor-glantad01,Adarius Taylor,Adarius,Taylor,OLB,LB,72,230,Florida Atlantic,1990-09-21,2014,Undrafted,NA,NA,CAR,28.9637234770705
2018,TB,00-0031120,9074,GlanAd00,adarius-taylor-glantad01,Adarius Taylor,Adarius,Taylor,OLB,LB,73,230,Florida Atlantic,1990-09-21,2014,Undrafted,NA,NA,CAR,27.9671457905544
2017,TB,00-0031120,9074,GlanAd00,adarius-taylor-glantad01,Adarius Taylor,Adarius,Taylor,OLB,LB,73,230,Florida Atlantic,1990-09-21,2014,Undrafted,NA,NA,CAR,26.9705681040383
2016,TB,00-0031120,9074,GlanAd00,adarius-taylor-glantad01,Adarius Taylor,Adarius,Taylor,OLB,LB,73,230,Florida Atlantic,1990-09-21,2014,Undrafted,NA,NA,CAR,25.9739904175222
2021,ATL,00-0036949,44047,OgunAd01,adetokunbo-ogundeji-ogundad01,Adetokunbo Ogundeji,Adetokunbo,Ogundeji,LB,ED,76,268,Notre Dame,1998-10-09,2021,Standard,5,182,ATL,22.9267624914442
2019,MIA,00-0033037,10714,WashAd00,adolphus-washington-washiad01,Adolphus Washington,Adolphus,Washington,DT,DI,76,295,Ohio State,1992-11-24,2016,Standard,3,80,BUF,26.7871321013005
2018,BUF,00-0033037,10714,WashAd00,adolphus-washington-washiad01,Adolphus Washington,Adolphus,Washington,DT,DI,76,295,Ohio State,1992-11-24,2016,Standard,3,80,BUF,25.7905544147844
2017,BUF,00-0033037,10714,WashAd00,adolphus-washington-washiad01,Adolphus Washington,Adolphus,Washington,DT,DI,76,295,Ohio State,1992-11-24,2016,Standard,3,80,BUF,24.7939767282683
