season,team,defense_type
2014,SF,34
2014,TB,43
2014,TEN,34
2014,WAS,34
2015,ARI,34
2015,ATL,43
2015,BAL,34
2015,BUF,34
2015,CAR,43
2015,CHI,34
2015,CIN,43
2015,CLE,34
2015,DAL,43
2015,DEN,34
2015,DET,43
2015,GB,34
2015,HOU,34
2015,IND,34
2015,JAX,43
2015,KC,34
2015,LA,43
2015,LAC,34
2015,LV,43
2015,MIA,43
2015,MIN,43
2015,NE,43
2015,NO,43
2015,NYG,43
2015,NYJ,34
2015,PHI,34
2015,PIT,34
2015,SEA,43
2015,SF,34
2015,TB,43
2015,TEN,34
2015,WAS,34
2016,ARI,34
2016,ATL,43
2016,BAL,34
2016,BUF,34
2016,CAR,43
2016,CHI,34
2016,CIN,43
2016,CLE,34
2016,DAL,43
2016,DEN,34
2016,DET,43
2016,GB,34
2016,HOU,34
2016,IND,34
2016,JAX,43
2016,KC,34
2016,LA,43
2016,LAC,34
2016,LV,43
2016,MIA,43
2016,MIN,43
2016,NE,43
2016,NO,43
2016,NYG,43
2016,NYJ,34
2016,PHI,43
2016,PIT,34
2016,SEA,43
2016,SF,34
2016,TB,43
2016,TEN,34
2016,WAS,34
2017,ARI,34
2017,ATL,43
2017,BAL,34
2017,BUF,43
2017,CAR,43
2017,CHI,34
2017,CIN,43
2017,CLE,43
2017,DAL,43
2017,DEN,34
2017,DET,43
2017,GB,34
2017,HOU,34
2017,IND,34
2017,JAX,43
2017,KC,34
2017,LA,34
2017,LAC,43
2017,LV,34
2017,MIA,43
2017,MIN,43
2017,NE,43
2017,NO,43
2017,NYG,43
2017,NYJ,34
2017,PHI,43
2017,PIT,34
2017,SEA,43
2017,SF,43
2017,TB,43
2017,TEN,34
2017,WAS,34
2018,ARI,34
2018,ATL,43
2018,BAL,34
2018,BUF,43
2018,CAR,43
2018,CHI,34
2018,CIN,43
2018,CLE,43
2018,DAL,43
2018,DEN,34
2018,DET,43
2018,GB,34
2018,HOU,34
2018,IND,34
2018,JAX,43
2018,KC,34
2018,LA,34
2018,LAC,43
2018,LV,43
2018,MIA,43
2018,MIN,43
2018,NE,43
2018,NO,43
2018,NYG,34
2018,NYJ,34
2018,PHI,43
2018,PIT,34
2018,SEA,43
2018,SF,43
2018,TB,43
2018,TEN,34
2018,WAS,34
2019,ARI,34
2019,ATL,43
2019,BAL,34
2019,BUF,43
2019,CAR,43
2019,CHI,34
2019,CIN,43
2019,CLE,43
2019,DAL,43
2019,DEN,34
2019,DET,43
2019,GB,34
2019,HOU,34
2019,IND,43
2019,JAX,43
2019,KC,43
2019,LA,34
2019,LAC,43
2019,LV,43
2019,MIA,43
2019,MIN,43
2019,NE,43
2019,NO,43
2019,NYG,34
2019,NYJ,34
2019,PHI,43
2019,PIT,34
2019,SEA,43
2019,SF,43
2019,TB,43
2019,TEN,34
2019,WAS,34
2020,ARI,34
2020,ATL,43
2020,BAL,34
2020,BUF,43
2020,CAR,43
2020,CHI,34
2020,CIN,43
2020,CLE,43
2020,DAL,34
2020,DEN,34
2020,DET,43
2020,GB,34
2020,HOU,34
2020,IND,43
2020,JAX,43
2020,KC,43
2020,LA,34
2020,LAC,43
2020,LV,43
2020,MIA,34
2020,MIN,43
2020,NE,43
2020,NO,43
2020,NYG,34
2020,NYJ,34
2020,PHI,43
2020,PIT,34
2020,SEA,43
2020,SF,43
2020,TB,43
2020,TEN,34
2020,WAS,43
2021,ARI,34
2021,ATL,34
2021,BAL,34
2021,BUF,43
2021,CAR,43
2021,CHI,34
2021,CIN,43
2021,CLE,43
2021,DAL,34
2021,DEN,34
2021,DET,34
2021,GB,34
2021,HOU,43
2021,IND,43
2021,JAX,34
2021,KC,43
2021,LA,34
2021,LAC,34
2021,LV,43
2021,MIA,34
2021,MIN,43
2021,NE,43
2021,NO,43
2021,NYG,34
2021,NYJ,43
2021,PHI,43
2021,PIT,34
2021,SEA,43
2021,SF,43
2021,TB,43
2021,TEN,34
2021,WAS,43
2022,ARI,34
2022,ATL,34
2022,BAL,34
2022,BUF,43
2022,CAR,43
2022,CHI,43
2022,CIN,43
2022,CLE,43
2022,DAL,34
2022,DEN,34
2022,DET,34
2022,GB,34
2022,HOU,43
2022,IND,43
2022,JAX,34
2022,KC,43
2022,LA,34
2022,LAC,34
2022,LV,34
2022,MIA,34
2022,MIN,34
2022,NE,43
2022,NO,43
2022,NYG,34
2022,NYJ,43
2022,PHI,43
2022,PIT,34
2022,SEA,43
2022,SF,43
2022,TB,34
2022,TEN,34
2022,WAS,43
